classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
knn,35,0.9104932569739516,0.9541423182352724,0.9002488464839957,1.7912616729736328,"[1, 6, 7, 19, 20, 33, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 121, 123, 127, 138, 141, 142, 145, 151, 154, 162, 165, 168, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
rf,40,0.9494734897469056,0.9743332067525579,0.9436812028976274,23.786073684692383,"[1, 6, 7, 19, 20, 24, 33, 49, 61, 62, 71, 80, 81, 86, 92, 96, 104, 114, 116, 120, 121, 123, 127, 131, 138, 141, 142, 145, 151, 154, 162, 165, 168, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
svc,40,0.9391280251246998,0.9752022815896749,0.9322479978316576,23.12587809562683,"[1, 6, 7, 19, 20, 24, 33, 49, 61, 62, 71, 80, 81, 86, 92, 96, 104, 114, 116, 120, 121, 123, 127, 131, 138, 141, 142, 145, 151, 154, 162, 165, 168, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
knn,40,0.9104932569739516,0.9548865036147094,0.9002604720217885,1.8819899559020996,"[1, 6, 7, 19, 20, 24, 33, 49, 61, 62, 71, 80, 81, 86, 92, 96, 104, 114, 116, 120, 121, 123, 127, 131, 138, 141, 142, 145, 151, 154, 162, 165, 168, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
rf,10,0.9429152041381859,0.9702737099727845,0.9363439020182538,13.881913185119629,"[1, 9, 46, 61, 89, 95, 96, 112, 168, 196]",exp1,KSC,3,62.74305701255798,230.19
svc,10,0.9215776833548864,0.9658996218724754,0.9127159398211677,18.767756700515747,"[1, 9, 46, 61, 89, 95, 96, 112, 168, 196]",exp1,KSC,3,62.74305701255798,230.19
knn,10,0.9024570478477739,0.9481664635320365,0.891281250115901,0.7249455451965332,"[1, 9, 46, 61, 89, 95, 96, 112, 168, 196]",exp1,KSC,3,62.74305701255798,230.19
rf,15,0.9450397191945317,0.9709925952706752,0.9387091284013059,14.636091709136963,"[1, 9, 46, 53, 61, 69, 89, 95, 96, 103, 112, 168, 173, 178, 196]",exp1,KSC,3,62.74305701255798,230.19
svc,15,0.9304452244596342,0.9707728707775787,0.9225804109828835,19.496108531951904,"[1, 9, 46, 53, 61, 69, 89, 95, 96, 103, 112, 168, 173, 178, 196]",exp1,KSC,3,62.74305701255798,230.19
knn,15,0.9060594864215776,0.9487051018181746,0.8952952851418519,0.9578049182891846,"[1, 9, 46, 53, 61, 69, 89, 95, 96, 103, 112, 168, 173, 178, 196]",exp1,KSC,3,62.74305701255798,230.19
rf,20,0.949750600406429,0.9739412579343875,0.9439723816433611,17.797903060913086,"[1, 9, 13, 46, 53, 61, 69, 83, 89, 95, 96, 100, 103, 112, 158, 168, 173, 178, 182, 196]",exp1,KSC,3,62.74305701255798,230.19
